country_name,year,GHG_emissions,CH4_emissions,N2O_emissions,F_Gas_emissions,CO2_emissions,CH4_emissions,N2O_emissions,energy_emissions,industry_emissions,agriculture_emissions,waste_emissions,land_use_foresty_emissions,bunker_fuels_emissions,electricity_heat_emissions,construction_emissions,transports_emissions,other_fuels_emissions,other_emissions,subregion,region-wb,continent,iso-a3,iso-a2
Afghanistan,1990,15.21284765,9.311588607000001,2.98405482,0.002180228,2.9150240000000003,9.311588607000001,2.98405482,3.774043903,0.057140228,7.3427099,4.038953624,0.0,,,,,,1.242219903,Southern Asia,South Asia,Asia,AFG,AF
Afghanistan,1991,15.28643902,9.516186524,3.082194099,0.00361306,2.684445333,9.516186524,3.082194099,3.376802897,0.05857306,7.6310272,4.2200358589999984,0.0,,,,,,1.020850897,Southern Asia,South Asia,Asia,AFG,AF
Afghanistan,1992,14.01053087,9.571483041,3.041732978,0.005045892,1.392268964,9.571483041,3.041732978,1.914300188,0.063669892,7.6314427,4.401118095,0.0,,,,,,0.602588188,Southern Asia,South Asia,Asia,AFG,AF
Afghanistan,1993,14.02811754,9.609868957,3.089065857,0.006478724,1.322704,9.609868957,3.089065857,1.678072885,0.065102724,7.702741599999999,4.58220033,0.0,,,,,,0.413992885,Southern Asia,South Asia,Asia,AFG,AF
Afghanistan,1994,13.98540757,9.789039374,2.920712637,0.007911556,1.267744,9.789039374,2.920712637,1.456450546,0.066535556,7.699138900000001,4.763282565,0.0,,,,,,0.247330546,Southern Asia,South Asia,Asia,AFG,AF
Afghanistan,1995,14.33493659,10.05781409,3.0476661160000003,0.009344387,1.220112,10.05781409,3.0476661160000003,1.242156207,0.067968387,8.0804473,4.944364801,0.0,,,,,,0.080668207,Southern Asia,South Asia,Asia,AFG,AF
Afghanistan,1996,15.32321115,10.86479836,3.286951591,0.017301205,1.15416,10.86479836,3.286951591,1.179520789,0.075925205,8.9693498,5.098415261,0.0,,,,,,0.083984789,Southern Asia,South Asia,Asia,AFG,AF
Afghanistan,1997,16.28452661,11.57810283,3.611277766,0.025258022,1.069888,11.57810283,3.611277766,1.0985653709999998,0.083882022,9.8496135,5.252465722,0.0,,,,,,0.087301371,Southern Asia,South Asia,Asia,AFG,AF
Afghanistan,1998,17.12443588,12.15518779,3.921105241,0.033214839,1.014928,12.15518779,3.921105241,1.046921953,0.091838839,10.5791589,5.406516182000001,0.0,,,,,,0.090617953,Southern Asia,South Asia,Asia,AFG,AF
Afghanistan,1999,18.00055534,12.95022606,4.210405616,0.041171657,0.798752,12.95022606,4.210405616,0.8340625359999999,0.099795657,11.5061305,5.560566643,0.0,,,,,,0.093934536,Southern Asia,South Asia,Asia,AFG,AF
Afghanistan,2000,16.496011,12.02792573,3.667836791,0.049128474000000005,0.75112,12.02792573,3.667836791,0.822723118,0.07477647400000001,9.8838943,5.7146171039999984,0.0,,,,,,0.097251118,Southern Asia,South Asia,Asia,AFG,AF
Afghanistan,2001,15.20942187,11.09931125,3.250581129,0.064441495,0.795088,11.09931125,3.250581129,0.850430525,0.090089495,8.3734948,5.895407054,0.0,,,,,,0.080990525,Southern Asia,South Asia,Asia,AFG,AF
Afghanistan,2002,17.69909435,12.76730887,3.782142967,0.079754515,1.069888,12.76730887,3.782142967,1.105305932,0.109066515,10.408524900000002,6.076197004,0.0,,,,,,0.064729932,Southern Asia,South Asia,Asia,AFG,AF
